96
MON,1,07:30,08:15
MON,2,08:15,09:00
MON,3,09:00,09:45
MON,4,10:00,10:45
MON,5,10:45,11:30
MON,6,11:30,12:15
MON,7,12:45,13:30
MON,8,13:30,14:15
MON,9,14:15,15:00
MON,10,15:15,16:00
MON,11,16:00,16:45
MON,12,16:45,17:30
MON,13,18:00,18:45
MON,14,18:45,19:30
MON,15,19:30,20:15
MON,16,20:15,21:00

TUE,1,07:30,08:15
TUE,2,08:15,09:00
TUE,3,09:00,09:45
TUE,4,10:00,10:45
TUE,5,10:45,11:30
TUE,6,11:30,12:15
TUE,7,12:45,13:30
TUE,8,13:30,14:15
TUE,9,14:15,15:00
TUE,10,15:15,16:00
TUE,11,16:00,16:45
TUE,12,16:45,17:30
TUE,13,18:00,18:45
TUE,14,18:45,19:30
TUE,15,19:30,20:15
TUE,16,20:15,21:00

WED,1,07:30,08:15
WED,2,08:15,09:00
WED,3,09:00,09:45
WED,4,10:00,10:45
WED,5,10:45,11:30
WED,6,11:30,12:15
WED,7,12:45,13:30
WED,8,13:30,14:15
WED,9,14:15,15:00
WED,10,15:15,16:00
WED,11,16:00,16:45
WED,12,16:45,17:30
WED,13,18:00,18:45
WED,14,18:45,19:30
WED,15,19:30,20:15
WED,16,20:15,21:00

THU,1,07:30,08:15
THU,2,08:15,09:00
THU,3,09:00,09:45
THU,4,10:00,10:45
THU,5,10:45,11:30
THU,6,11:30,12:15
THU,7,12:45,13:30
THU,8,13:30,14:15
THU,9,14:15,15:00
THU,10,15:15,16:00
THU,11,16:00,16:45
THU,12,16:45,17:30
THU,13,18:00,18:45
THU,14,18:45,19:30
THU,15,19:30,20:15
THU,16,20:15,21:00

FRI,1,07:30,08:15
FRI,2,08:15,09:00
FRI,3,09:00,09:45
FRI,4,10:00,10:45
FRI,5,10:45,11:30
FRI,6,11:30,12:15
FRI,7,12:45,13:30
FRI,8,13:30,14:15
FRI,9,14:15,15:00
FRI,10,15:15,16:00
FRI,11,16:00,16:45
FRI,12,16:45,17:30
FRI,13,18:00,18:45
FRI,14,18:45,19:30
FRI,15,19:30,20:15
FRI,16,20:15,21:00

SAT,1,07:30,08:15
SAT,2,08:15,09:00
SAT,3,09:00,09:45
SAT,4,10:00,10:45
SAT,5,10:45,11:30
SAT,6,11:30,12:15
SAT,7,12:45,13:30
SAT,8,13:30,14:15
SAT,9,14:15,15:00
SAT,10,15:15,16:00
SAT,11,16:00,16:45
SAT,12,16:45,17:30
SAT,13,18:00,18:45
SAT,14,18:45,19:30
SAT,15,19:30,20:15
SAT,16,20:15,21:00
